Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid 
London,Wandle,1a,a,1,4.957,5.045,1.9,2.44,4.912,3.544,0.114,0.522,0.033451319,0.047619048,0.010187354,0.002224824,0.018045113,0.017243108,17.905,4,,1,,,,,1a,0.105,0.024,µg/L,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Wandle,1b,b,2,5.016,4.971,1.9,2.44,4.893,4.32,0.896,0.363,0.041382878,0.047619048,0.007084309,0.017486339,0.020401003,0.018897243,17.905,0,2,,,,,,1b,0.105,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Wandle,1c,c,3,5.035,4.938,1.9,2.44,4.901,4.181,0.001,0.001,0.040319003,0.047619048,0,0,0.016691729,,17.905,3,5,2,1,,,,1c,0.105,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Wandle,1d,d,4,5.035,4.992,1.9,2.44,4.916,1.758,0.591,0.378,0.016769689,0.047619048,0.007377049,0.011533958,0.01641604,0.017368421,17.905,2,,2,,,,,1d,0.105,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Wandle,1e,e,5,5.018,4.962,1.9,2.44,4.989,3.045,0.001,0.001,0.029222088,0.047619048,0,0,0.017042607,0.018320802,17.905,0,1,,,,,,1e,0.105,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Wandle,1f,f,6,5.094,4.996,1.9,2.44,,1.795,,0.001,0.017108925,,0,,0.017794486,0.018521303,17.905,15,2,,,,,,1f,0.105,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present 
London,Crane,3a,a,13,5.041,5.044,1.9,2.44,4.943,4.218,0.641,0.001,0.039821004,0.047619048,,0.012509758,0.025037594,0.02085213,17.987,3,1,,,,,,3a,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
London,Crane,3b,b,14,5.075,4.992,1.9,2.44,4.981,4.597,0.182,0.199,0.043851114,0.047619048,0.003883685,0.003551913,0.020075188,0.020250627,17.987,1,,,,,,,3b,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
London,Crane,3c,c,15,4.923,5,1.9,2.44,4.756,3.836,0.914,0.597,0.036533333,0.047619048,0.011651054,0.017837627,0.019724311,0.016115288,17.987,2,2,1,,,,,3c,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
London,Crane,3d,d,16,4.966,5.006,1.9,2.44,4.878,4.271,0.593,0.467,0.040627438,0.047619048,0.009113973,0.01157299,0.01839599,0.018822055,17.987,,,,,,,,3d,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
London,Crane,3e,e,17,4.941,4.932,1.9,2.44,,,,,,,,,,,17.987,,,,,,,,3e,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
London,Crane,3f,f,18,4.981,4.92,1.9,2.44,4.89,4.42,1.423,1.353,0.048209446,0.047619048,0.026405152,0.027771272,0.018947368,0.017293233,17.987,,,1,,,,,3f,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present 
