Location,River/Reach,Site ID,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid,Imida_bi
London,Wandle,1a,1,4.957,5.045,1.9,2.44,4.912,3.544,0.114,0.522,0.033451319,0.047619048,0.010187354,0.002224824,0.018045113,0.017243108,17.905,4,,1,,,,,1a,0.12,0.024,µg/L,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Not Present,0
London,Wandle,1c,3,5.035,4.938,1.9,2.44,4.901,4.181,0.001,0.001,0.040319003,0.047619048,0,0,0.016691729,,17.905,3,5,2,1,,,,1c,0.12,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Imidacloprid Present ,1
London,Wandle,1e,5,5.018,4.962,1.9,2.44,4.989,3.045,0.001,0.001,0.029222088,0.047619048,0,0,0.017042607,0.018320802,17.905,0,1,,,,,,1e,0.12,0.024,,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Imidacloprid Present ,1
London,Hogsmill,2a,7,5.002,4.973,1.9,2.44,4.81,4.956,1.59,1.738,0.047896738,0.045791207,0.033918813,0.031030445,0.018170426,0.018245614,16.684,0,20,,,,,,2a,,,,23.65,42.53455606,66.18455606,18270864.26,32859751,77254247,Not Present,0
London,Hogsmill,2c,9,5.027,4.985,1.9,2.44,4.427,3.065,1.016,0.183,0.029278311,0.041935453,0.003571429,0.019828259,0.016817043,0.016015038,16.684,21,1,,,,,,2c,,,,23.65,42.53455606,66.18455606,18270864.26,32859751,77254247,Not Present,0
London,Hogsmill,2f,12,5.085,4.919,1.9,2.44,5.001,2.766,0.929,0.09,0.026776639,0.047619048,0.00175644,0.018130367,0.017468672,0.024786967,16.684,13,6,,,,,,2f,,,,23.65,42.53455606,66.18455606,18270864.26,32859751,77254247,Not Present,0
London,Crane,3c,15,4.923,5,1.9,2.44,4.756,3.836,0.914,0.597,0.036533333,0.047619048,0.011651054,0.017837627,0.019724311,0.016115288,17.987,2,2,1,,,,,3c,0.0014,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Imidacloprid Present ,1
London,Crane,3f,18,4.981,4.92,1.9,2.44,4.89,4.42,1.423,1.353,0.048209446,0.047619048,0.026405152,0.027771272,0.018947368,0.017293233,17.987,,,1,,,,,3f,0.0014,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Not Present,0
London,Lea,4a ,19,5.077,4.913,1.9,2.44,5.021,2.723,1.124,1.525,0.026392564,0.047619048,0.029761905,0.021935988,0.020927318,0.019774436,17.155,,,,,,,,4a ,0.0006,0.07,,6.37,27.71528405,34.08528405,4918672.915,21411234,77254247,Not Present,0
London,Lea,4f,24,4.945,5.003,1.9,2.44,4.91,4.471,1.553,0.245,0.042555419,0.047282007,0.004781421,0.030308353,0.022230576,0.020902256,17.155,,,1,,,69,,4f,0.0006,0.07,,6.37,27.71528405,34.08528405,4918672.915,21411234,77254247,Not Present,0
London,Cray,5a,25,4.985,4.985,1.9,2.44,4.921,1.43,2.011,1.531,0.013660028,0.047619048,0.029879001,0.039246682,0.019348371,0.020526316,13.662,82,,,,,,,5a,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Not Present,0
London,Cray,5c,27,5.033,5.056,1.9,2.44,4.235,2.462,2.075,2.071,0.023187914,0.040068879,0.040417642,0.040495706,0.017218045,0.019774436,13.662,12,,,,1,,,5c,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Not Present,0
London,Cray,5f,30,5.003,4.935,1.9,2.44,4.698,2.154,1.189,0.127,0.020784484,0.044716028,0.002478532,0.023204528,0.021177945,0.022005013,13.662,45,,,,,,,5f,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Not Present,0
London,Darent,6a,31,4.982,5.042,1.9,2.44,4.913,3.639,2.41,1.749,,0.046959531,,0.047619048,0.016541353,,17.3,,,,,,,,6a,,,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Not Present,0
London,Darent,6b,32,4.982,4.925,1.9,2.44,4.901,3.623,2.313,1.481,0.035030215,0.047619048,0.028903201,0.045140515,0.017368421,0.017343358,17.3,5,4,2,,,,,6b,,,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Not Present,0
London,Darent,6e,35,4.931,4.952,1.9,2.44,4.486,3.09,2.4,2.391,0.029713824,0.043321648,0.046662763,0.047619048,0.018370927,0.019047619,17.3,1,1,,,,,,6e,,,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Not Present,0
Kennet,Manton Bridge,7a ,37,4.971,4.912,1.9,2.44,4.611,1.31,0.732,1.183,0.012699705,0.044170474,0.023087432,0.014285714,0.022932331,0.020526316,12.763,24,,,,,,,7a ,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Not Present,0
Kennet,Manton Bridge,7c,39,5.021,4.977,1.9,2.44,4.901,2.162,1.209,0.841,0.02068563,0.063201222,0.016412959,0.023594848,0.019473684,0.021654135,12.763,145,,,,1,,,7c,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Not Present,0
Kennet,Manton Bridge,7f,42,4.985,4.928,1.9,2.44,4.367,3.904,2.26,2.4,0.037724181,0.041715623,0.052361436,0.044106167,0.021052632,0.022130326,12.763,30,,,,3,1,,7f,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Not Present,0
Kennet,Marlborough College,8a ,43,5,4.927,1.9,2.44,4.361,3.88,2.355,2.315,0.037499879,0.041533333,0.045179547,0.045960187,0.022431078,0.020701754,13.674,29,,1,,,1,,8a ,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Not Present,0
Kennet,Marlborough College,8f ,48,4.966,4.938,1.9,2.44,4.288,3.476,1.966,1.58,0.033520415,0.041117696,0.030835285,0.038368462,0.021779449,0.021253133,13.674,25,,,,,,,8f ,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Not Present,0
Kennet,Stonebridge Meadow,9b,50,4.956,4.924,1.9,2.44,4.326,2.099,1.695,0.592,0.020299021,0.041565779,0.011553474,0.033079625,0.020726817,0.022180451,12.793,126,,,,1,,,9b,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Not Present,0
Kennet,Stonebridge Meadow,9c,51,4.954,5.038,1.9,2.44,4.892,3.335,2.355,2.369,0.031522335,0.047619048,0.046233411,0.045960187,0.02112782,0.022681704,12.793,12,,,,,,,9c,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Not Present,0
Kennet,Stonebridge Meadow,9f,54,4.972,4.913,1.9,2.44,4.841,3.641,2.081,2.175,0.035290241,0.046364403,0.042447307,0.040612802,0.021253133,0.022807018,12.793,9,,,,,2,,9f,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Not Present,0
Kennet,Mildenhall Trout Farm,10a ,55,4.946,4.927,1.9,2.44,4.874,3.109,1.19,0.999,0.030048228,0.047619048,0.019496487,0.023224044,0.02160401,0.02047619,12.811,8,,,,,1,,10a ,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Not Present,1
Kennet,Mildenhall Trout Farm,10c,57,4.916,4.92,1.9,2.44,4.9,3.086,2.44,1.159,0.02986837,0.047619048,0.022619048,0.047619048,0.021528822,0.020250627,12.811,29,,,,,,,10c,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Not Present,0
Kennet,Mildenhall Trout Farm,10f,60,5,4.939,1.9,2.44,4.299,3.409,2.4,2.39,0.032867652,0.040942857,0.047619048,0.047619048,0.020802005,0.027944862,12.811,7,,,,,,,10f,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Not Present,0
Kennet,Stitchcombe,11a,61,4.98,4.91,1.9,2.44,4.046,2.738,2.344,1.967,0.026554165,0.038688086,0.038387978,0.045745511,0.021077694,0.019874687,13.75,42,,,,,,,11a,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Not Present,0
Kennet,Stitchcombe,11c,63,4.942,4.953,1.9,2.44,4.828,2.377,1.695,0.001,0.022852913,0.046520591,,0.033079625,0.021303258,0.021378446,13.75,35,,,,,3,,11c,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Not Present,0
Kennet,Stitchcombe,11f,66,4.935,4.947,1.9,2.44,4.037,2.351,2.368,2.034,0.022630358,0.038954021,0.03969555,0.046213895,0.021553885,0.019473684,13.75,11,,,,,,,11f,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Not Present,0
Kennet,Littlecote,12a,67,4.948,4.94,1.9,2.44,4.502,2.959,1.706,2.03,0.028523231,0.054301153,0.039617486,0.033294301,0.020676692,0.021428571,14.988,32,,,,,,,12a,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Not Present,0
