Location,Site ID,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Teabag- Fine,post Teabag- Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,
London,1a,1,4.957,5.045,1.9,2.44,5.792,3.544,0.72,0.688,0.114,0.522,0.033451319,0.055640412,0.010187354,0.002224824,0.018045113,0.017243108,
London,1b,2,5.016,4.971,1.9,2.44,7.411,4.32,0.814,0.754,0.896,0.363,0.041382878,0.070355814,0.007084309,0.017486339,0.020401003,0.018897243,
London,1c,3,5.035,4.938,1.9,2.44,7.968,4.181,0.666,,0,0,0.040319003,0.075358207,0,0,0.016691729,,
London,1d,4,5.035,4.992,1.9,2.44,7.012,1.758,0.655,0.693,0.591,0.378,0.016769689,0.066316735,0.007377049,0.011533958,0.01641604,0.017368421,
London,1e,5,5.018,4.962,1.9,2.44,5.355,3.045,0.68,0.731,0,0,0.029222088,0.050817059,0,0,0.017042607,0.018320802,
London,1f,6,5.094,4.996,1.9,2.44,,1.795,0.71,0.739,,0,0.017108925,,0,,0.017794486,0.018521303,
London,2a,7,5.002,4.973,1.9,2.44,4.81,5.351,0.725,0.728,1.59,1.738,0.051238593,0.045791207,0.033918813,0.031030445,0.018170426,0.018245614,
London,2b,8,4.973,4.921,1.9,2.44,4.678,3.275,0.701,0.679,0.833,0.329,0.031691197,0.04479427,0.006420765,0.016256831,0.017568922,0.017017544,
London,2c,9,5.027,4.985,1.9,2.44,4.427,3.065,0.671,0.639,1.016,0.183,0.029278311,0.041935453,0.003571429,0.019828259,0.016817043,0.016015038,
London,2d,10,4.984,5.016,1.9,2.44,4.184,3.631,0.685,0.654,1.026,1.262,0.034470646,0.039975541,0.024629196,0.020023419,0.01716792,0.016390977,
London,2e,11,4.992,4.922,1.9,2.44,4.243,3.516,0.625,0.677,1.119,1.085,0.03401637,0.040474283,0.021174863,0.021838407,0.01566416,0.016967419,
London,2f,12,5.085,4.919,1.9,2.44,5.513,2.766,0.697,0.989,0.929,0.09,0.026776639,0.051627101,0.00175644,0.018130367,0.017468672,0.024786967,
London,3a,13,5.041,5.044,1.9,2.44,7.058,4.218,0.999,0.832,0.641,0,0.039821004,0.066672334,,0.012509758,0.025037594,0.02085213,
London,3b,14,5.075,4.992,1.9,2.44,5.445,4.597,0.801,0.808,0.182,0.199,0.043851114,0.051090781,0.003883685,0.003551913,0.020075188,0.020250627,
London,3c,15,4.923,5,1.9,2.44,5.156,3.836,0.787,0.643,0.914,0.597,0.036533333,0.049872803,0.011651054,0.017837627,0.019724311,0.016115288,
London,3d,16,4.966,5.006,1.9,2.44,5.254,4.271,0.734,0.751,0.593,0.467,0.040627438,0.050380684,0.009113973,0.01157299,0.01839599,0.018822055,
London,3e,17,4.941,4.932,1.9,2.44,,,,,,,,,,,,,
London,3f,18,4.981,4.92,1.9,2.44,6.377,5.99,0.756,0.69,1.423,1.353,0.057975223,0.060965,0.026405152,0.027771272,0.018947368,0.017293233,
London,4a ,19,5.077,4.913,1.9,2.44,7.455,2.723,0.835,0.789,1.124,1.525,0.026392564,0.069923183,0.029761905,0.021935988,0.020927318,0.019774436,
London,4b,20,4.952,4.988,1.9,2.44,4.389,2.908,0.772,0.745,2.062,2.278,0.027761867,0.04220517,0.044457455,0.040241998,0.019348371,0.018671679,
London,4c,21,5.008,5.022,1.9,2.44,6.285,3.212,0.871,0.866,1.27,0.77,0.030456468,0.059761524,0.015027322,0.024785324,0.021829574,0.021704261,
London,4d,22,5.018,4.967,1.9,2.44,6.265,3.912,0.792,0.95,0.949,0.354,0.037504674,0.059452637,0.006908665,0.018520687,0.019849624,0.023809524,
London,4e,23,5.041,4.963,1.9,2.44,,,,,,,,,,,,,
London,4f,24,4.945,5.003,1.9,2.44,4.91,4.471,0.887,0.834,1.553,0.245,0.042555419,0.047282007,0.004781421,0.030308353,0.022230576,0.020902256,
London,5a,25,4.985,4.985,1.9,2.44,5.427,1.43,0.772,0.819,2.011,1.531,0.013660028,0.051841238,0.029879001,0.039246682,0.019348371,0.020526316,
London,5b,26,4.988,4.976,1.9,2.44,5.98,1.257,0.868,0.832,1.67,0.871,0.012029169,0.057089396,0.016998439,0.032591725,0.021754386,0.02085213,
London,5c,27,5.033,5.056,1.9,2.44,4.235,2.462,0.687,0.789,2.075,2.071,0.023187914,0.040068879,0.040417642,0.040495706,0.017218045,0.019774436,
London,5d,28,4.928,4.916,1.9,2.44,6.495,1.953,0.748,0.768,1.734,1.501,0.018917819,0.0627609,0.029293521,0.033840749,0.018746867,0.01924812,
London,5e,29,5.021,5.005,1.9,2.44,5.103,1.275,0.796,,1.395,0,0.012130726,0.048396734,,0.027224824,0.019949875,,
London,5f,30,5.003,4.935,1.9,2.44,4.698,2.154,0.845,0.878,1.189,0.127,0.020784484,0.044716028,0.002478532,0.023204528,0.021177945,0.022005013,
London,6a,31,4.982,5.042,1.9,2.44,4.913,,0.66,,2.626,,,0.046959531,,0.051249024,0.016541353,,
London,6b,32,4.982,4.925,1.9,2.44,5.397,3.623,0.693,0.692,2.313,1.481,0.035030215,0.051585709,0.028903201,0.045140515,0.017368421,0.017343358,
London,6c,33,5.029,4.918,1.9,2.44,,,,,,,,,,,,,
London,6d,34,4.958,4.943,1.9,2.44,5.539,1.675,0.731,0.75,2.085,0.377,0.016136335,0.053199255,0.007357533,0.040690867,0.018320802,0.018796992,
London,6e,35,4.931,4.952,1.9,2.44,4.486,3.09,0.733,0.76,2.44,2.391,0.029713824,0.043321648,0.046662763,0.047619048,0.018370927,0.019047619,
London,6f,36,5.057,4.948,1.9,2.44,,,,,,,,,,,,,
Kennet,7a ,37,4.971,4.912,1.9,2.44,4.611,1.31,0.915,0.819,0.732,1.183,0.012699705,0.044170474,0.023087432,0.014285714,0.022932331,0.020526316,
Kennet,7b,38,4.975,4.924,1.9,2.44,4.408,1.194,0.868,0.837,1.348,0.894,0.011546942,0.042191912,0.017447307,0.026307572,0.021754386,0.020977444,
Kennet,7c,39,5.021,4.977,1.9,2.44,6.664,2.162,0.777,0.864,1.209,0.841,0.02068563,0.063201222,0.016412959,0.023594848,0.019473684,0.021654135,
Kennet,7d,40,5.045,4.929,1.9,2.44,4.276,2.518,0.866,0.883,0.913,,0.024326387,0.040360564,,0.017818111,0.021704261,0.022130326,
Kennet,7e,41,4.972,4.936,1.9,2.44,4.84,2.987,0.902,0.808,1.973,1.793,0.02881647,0.046354825,0.034992194,0.038505074,0.022606516,0.020250627,
Kennet,7f,42,4.985,4.928,1.9,2.44,4.367,3.904,0.84,0.883,2.26,2.683,0.037724181,0.041715623,0.052361436,0.044106167,0.021052632,0.022130326,
Kennet,8a ,43,5,4.927,1.9,2.44,4.361,3.88,0.895,0.826,2.355,2.315,0.037499879,0.041533333,0.045179547,0.045960187,0.022431078,0.020701754,
Kennet,8b,44,4.91,4.931,1.9,2.44,4.24,4.102,0.845,0.789,2.355,2.428,0.039613331,0.041121133,0.047384856,0.045960187,0.021177945,0.019774436,
Kennet,8c,45,4.966,4.915,1.9,2.44,4.627,3.676,0.876,0.815,2.183,1.756,0.035614978,0.044368372,0.034270101,0.042603435,0.021954887,0.020426065,
Kennet,8d,46,5.02,5.005,1.9,2.44,4.408,4.724,0.815,0.812,1.797,1.87,0.044945531,0.041813698,0.036494926,0.035070258,0.020426065,0.020350877,
Kennet,8e,47,5.051,4.936,1.9,2.44,4.409,3.84,0.836,0.853,2.327,2.178,0.037045612,0.041566498,0.042505855,0.045413739,0.020952381,0.021378446,
Kennet,8f ,48,4.966,4.938,1.9,2.44,4.288,3.476,0.869,0.848,1.966,1.58,0.033520415,0.041117696,0.030835285,0.038368462,0.021779449,0.021253133,
Kennet,9a,49,5.029,4.96,1.9,2.44,,,,,,,,,,,,,
Kennet,9b,50,4.956,4.924,1.9,2.44,4.326,2.099,0.827,0.885,1.695,0.592,0.020299021,0.041565779,0.011553474,0.033079625,0.020726817,0.022180451,
Kennet,9c,51,4.954,5.038,1.9,2.44,7.603,3.335,0.843,0.905,2.355,2.369,0.031522335,0.073081877,0.046233411,0.045960187,0.02112782,0.022681704,
Kennet,9d,52,4.946,4.943,1.9,2.44,4.964,4.568,0.802,0.917,2.41,2.416,0.044006435,0.047792348,0.047150664,0.047033568,0.020100251,0.022982456,
Kennet,9e,53,4.962,4.906,1.9,2.44,4.006,3.08,0.794,0.82,2.399,2.22,0.029895366,0.03844456,0.043325527,0.046818891,0.019899749,0.020551378,
Kennet,9f,54,4.972,4.913,1.9,2.44,4.841,3.641,0.848,0.91,2.081,2.175,0.035290241,0.046364403,0.042447307,0.040612802,0.021253133,0.022807018,
Kennet,10a ,55,4.946,4.927,1.9,2.44,5.428,3.109,0.862,0.817,1.19,0.999,0.030048228,0.052259642,0.019496487,0.023224044,0.02160401,0.02047619,
Kennet,10b,56,5.08,4.966,1.9,2.44,,2.888,,0.77,,0.044,0.027693075,,0.000858704,,,0.019298246,
Kennet,10c,57,4.916,4.92,1.9,2.44,5.021,3.086,0.859,0.808,2.456,1.159,0.02986837,0.048636135,0.022619048,0.047931304,0.021528822,0.020250627,
Kennet,10d,58,4.925,4.912,1.9,2.44,4.606,4.837,0.804,0.838,1.909,1.927,0.046891965,0.044534687,0.037607338,0.03725605,0.020150376,0.021002506,
Kennet,10e,59,4.991,4.945,1.9,2.44,4.848,3.657,0.83,0.758,2.537,2.215,0.035215947,0.046254687,0.043227947,0.0495121,0.020802005,0.018997494,
Kennet,10f,60,5,4.939,1.9,2.44,4.299,3.409,0.83,1.115,2.546,2.484,0.032867652,0.040942857,0.048477752,0.049687744,0.020802005,0.027944862,
Kennet,11a,61,4.98,4.91,1.9,2.44,4.046,2.738,0.841,0.793,2.344,1.967,0.026554165,0.038688086,0.038387978,0.045745511,0.021077694,0.019874687,
Kennet,11b,62,5.018,5.004,1.9,2.44,4.763,1.899,0.853,0.747,2.199,0,0.018071257,0.045199188,,0.042915691,0.021378446,0.018721805,
Kennet,11c,63,4.942,4.953,1.9,2.44,4.828,2.377,0.85,0.853,1.695,0,0.022852913,0.046520591,,0.033079625,0.021303258,0.021378446,
Kennet,11d,64,5.032,4.954,1.9,2.44,4.461,2.251,0.946,0.873,1.502,0.142,0.021637157,0.042215535,0.002771272,0.029313037,0.023709273,0.021879699,
Kennet,11e,65,5.004,4.974,1.9,2.44,4.372,2.703,0.905,0.857,2.262,2.057,0.02587742,0.041604811,0.040144418,0.044145199,0.022681704,0.021478697,
Kennet,11f,66,4.935,4.947,1.9,2.44,4.037,2.351,0.86,0.777,2.368,2.034,0.022630358,0.038954021,0.03969555,0.046213895,0.021553885,0.019473684,
Kennet,12a,67,3.948,4.94,1.9,2.44,4.502,2.959,0.825,0.855,1.706,2.03,0.028523231,0.054301153,0.039617486,0.033294301,0.020676692,0.021428571,
Kennet,12b,68,4.987,4.962,1.9,2.44,,,,,,,,,,,,,
Kennet,12c,69,5.035,4.947,1.9,2.44,,,,,,,,,,,,,
Kennet,12d,70,5.032,4.924,1.9,2.44,,,,,,,,,,,,,
Kennet,12e,71,4.939,4.964,1.9,2.44,,,,,,,,,,,,,
Kennet,12f,72,4.928,4.985,1.9,2.44,,,,,,,,,,,,,
Norfolk,13a,73,4.951,5.013,1.9,2.44,4.348,2.874,0.895,0.78,1.388,0.113,0.027300447,0.041819353,0.002205308,0.027088212,0.022431078,0.019548872,
Norfolk,13b,74,4.93,4.927,1.9,2.44,4.599,2.832,0.769,0.778,1.625,1.649,0.027371046,0.044421907,0.032181889,0.031713505,0.019273183,0.019498747,
Norfolk,13c,75,4.996,4.945,1.9,2.44,3.833,3.632,0.83,0.783,1.944,1.976,0.034975203,0.036533989,0.038563622,0.03793911,0.020802005,0.01962406,
Norfolk,13d,76,5.022,4.942,1.9,2.44,3.824,1.845,0.789,0.76,1.391,1.085,0.017777649,0.036259506,0.021174863,0.02714676,0.019774436,0.019047619,
Norfolk,13e,77,4.937,4.927,1.9,2.44,3.744,3.752,0.747,0.743,2.507,2.149,0.03626277,0.036112156,0.041939891,0.04892662,0.018721805,0.018621554,
Norfolk,13f,78,4.909,4.934,1.9,2.44,3.771,2.943,0.777,0.729,1.548,1.904,0.028403498,0.036580042,0.03715847,0.030210773,0.019473684,0.018270677,
Norfolk,14a,79,5.002,4.952,1.9,2.44,4.496,2.34,0.819,0.852,2.31,0.926,0.022501731,0.042801927,0.018071819,0.045081967,0.020526316,0.021353383,
Norfolk,14b,80,4.919,4.965,1.9,2.44,4.158,3.166,0.775,0.854,1.836,1.511,0.030364936,0.040252084,0.029488681,0.035831382,0.019423559,0.021403509,
Norfolk,14c,81,5.026,4.981,1.9,2.44,3.869,2.61,0.778,0.776,2.24,1.64,0.02495196,0.036657003,0.032006245,0.043715847,0.019498747,0.019448622,
Norfolk,14d,82,4.917,4.937,1.9,2.44,4.942,1.778,0.837,0.919,2.103,1.36,0.017149416,0.047861162,0.026541764,0.041042155,0.020977444,0.023032581,
Norfolk,14e,83,4.963,5.012,1.9,2.44,5.737,4.154,0.731,0.823,1.777,2.232,0.039467184,0.055045431,0.043559719,0.034679938,0.018320802,0.020626566,
Norfolk,14f,84,4.949,4.958,1.9,2.44,3.897,3.347,0.794,0.859,2.071,0.6,0.032146219,0.037496753,0.011709602,0.040417642,0.019899749,0.021528822,
Norfolk,15a,85,4.932,5.005,1.9,2.44,4.242,1.593,0.771,0.726,1.921,1.281,0.015156272,0.040957015,0.025,0.037490242,0.019323308,0.018195489,
Norfolk,15b,86,4.981,5.034,1.9,2.44,3.971,2.04,0.735,0.741,1.983,1.218,0.019297349,0.037963308,0.023770492,0.038700234,0.018421053,0.018571429,
Norfolk,15c,87,4.909,4.918,1.9,2.44,4.399,1.326,0.778,0.786,0.873,0.578,0.012839133,0.042671866,0.01128025,0.017037471,0.019498747,0.019699248,
Norfolk,15d,88,4.955,5.083,1.9,2.44,5.502,2.257,0.77,0.848,1.767,0.206,0.021144244,0.052875883,0.004020297,0.034484778,0.019298246,0.021253133,
Norfolk,15e,89,4.923,4.974,1.9,2.44,4.762,2.294,0.756,0.765,2.055,0.913,0.021961821,0.046061732,0.017818111,0.040105386,0.018947368,0.019172932,
Norfolk,15f,90,4.933,4.975,1.9,2.44,4.667,2.209,0.754,0.772,1.818,1.359,0.021143814,0.045051307,0.026522248,0.035480094,0.018897243,0.019348371,
Norfolk,16a,91,4.984,4.975,1.9,2.44,4.474,2.845,0.915,0.799,0.662,0.271,0.027231395,0.042746312,0.005288837,0.012919594,0.022932331,0.020025063,
Norfolk,16b,92,4.98,4.952,1.9,2.44,4.437,2.447,0.871,0.944,1.083,0.355,0.023530656,0.04242685,0.006928181,0.021135831,0.021829574,0.023659148,
Norfolk,16c,93,4.961,5.003,1.9,2.44,,,,,,,,,,,,,
Norfolk,16d,94,4.943,4.978,1.9,2.44,4.525,10.661,0.869,0.915,2.758,0.956,0.101982054,0.043592189,0.018657299,0.053825137,0.021779449,0.022932331,
Norfolk,16e,95,4.968,4.935,1.9,2.44,,,,,,,,,,,,,
Norfolk,16f,96,4.926,4.989,1.9,2.44,4.773,4.907,0.822,0.825,0.502,,0.046836373,0.046140015,0,0.009797034,0.020601504,0.020676692,
Norfolk,17a,97,4.941,4.945,1.9,2.44,4.106,0.967,0.773,,0.577,,0.009311955,0.039571708,0,0.011260734,0.019373434,,
Norfolk,17b,98,4.94,5.054,1.9,2.44,5.453,0.737,0.824,0.985,0.529,0,0.006944052,0.052564103,0,0.010323966,0.020651629,0.024686717,
Norfolk,17c,99,4.982,5.083,1.9,2.44,,,,,,,,,,,,,
Norfolk,17d,100,5.026,4.95,1.9,2.44,7.266,2.893,0.972,0.845,0.08,0,0.027830688,0.068842021,0,0.00156128,0.024360902,0.021177945,
