Leaf litter ID ,Treatment,Temperature (CºC),Invertebrates ,Weight (g),Mean ,k ,log test
1,Control,5,Yes,0.822,0.846166667,0.039142857,0.016675257
2,Control,5,Yes,0.846,,0.040285714,0.017152635
3,Control,5,Yes,0.867,,0.041285714,0.01756991
4,Control,5,Yes,0.897,,0.042714286,0.018165324
5,Control,5,Yes,0.8,,0.038095238,0.016237199
6,Control,5,Yes,0.845,,0.040238095,0.017132754
7,P Mix,5,Yes,0.924,0.875,0.044,0.018700499
8,P Mix,5,Yes,0.805,,0.038333333,0.016336796
9,P Mix,5,Yes,0.86,,0.040952381,0.017430863
10,P Mix,5,Yes,0.845,,0.040238095,0.017132754
11,P Mix,5,Yes,0.912,,0.043428571,0.018462725
12,P Mix,5,Yes,0.904,,0.043047619,0.018304136
13,Control,15,Yes,0.76,0.691166667,0.036190476,0.015439596
14,Control,15,Yes,0.643,,0.030619048,0.013098165
15,Control,15,Yes,0.712,,0.033904762,0.014480536
16,Control,15,Yes,0.683,,0.03252381,0.013900075
17,Control,15,Yes,0.706,,0.033619048,0.014360504
18,Control,15,Yes,0.643,,0.030619048,0.013098165
19,P Mix,15,Yes,0.781,0.765,0.037190476,0.01585852
20,P Mix,15,Yes,0.704,,0.03352381,0.014320486
21,P Mix,15,Yes,0.772,,0.036761905,0.015679031
22,P Mix,15,Yes,0.737,,0.035095238,0.014980311
23,P Mix,15,Yes,0.824,,0.039238095,0.016715058
24,P Mix,15,Yes,0.772,,0.036761905,0.015679031
25,Imidacloprid,5,Yes,0.877,0.938666667,0.041761905,0.017768472
26,Imidacloprid,5,Yes,0.866,,0.041238095,0.017550049
27,Imidacloprid,5,Yes,0.99,,0.047142857,0.020005935
28,Imidacloprid,5,Yes,0.946,,0.045047619,0.01913608
29,Imidacloprid,5,Yes,0.965,,0.045952381,0.019511913
30,Imidacloprid,5,Yes,0.988,,0.047047619,0.019966434
31,Imidacloprid,15,Yes,0.806,0.828333333,0.038380952,0.016356713
32,Imidacloprid,15,Yes,0.737,,0.035095238,0.014980311
33,Imidacloprid,15,Yes,0.92,,0.043809524,0.018621255
34,Imidacloprid,15,Yes,0.93,,0.044285714,0.018819337
35,Imidacloprid,15,Yes,0.849,,0.040428571,0.01721227
36,Imidacloprid,15,Yes,0.728,,0.034666667,0.014800458
49,Fipronil,5,Yes,0.855,0.907666667,0.040714286,0.017331516
50,Fipronil,5,Yes,0.92,,0.043809524,0.018621255
51,Fipronil,5,Yes,0.974,,0.046380952,0.019689825
52,Fipronil,5,Yes,0.869,,0.041380952,0.01760963
53,Fipronil,5,Yes,0.866,,0.041238095,0.017550049
54,Fipronil,5,Yes,0.962,,0.045809524,0.019452592
55,Fipronil,15,Yes,0.745,0.815333333,0.03547619,0.015140117
56,Fipronil,15,Yes,0.746,,0.03552381,0.015160089
57,Fipronil,15,Yes,0.904,,0.043047619,0.018304136
58,Fipronil,15,Yes,0.782,,0.037238095,0.015878459
59,Fipronil,15,Yes,0.851,,0.04052381,0.017252022
60,Fipronil,15,Yes,0.864,,0.041142857,0.017510324
