"","Gam.ID","Chemical","Time..hours.","Temperature","Distance","Body.Length","Variance","Total.Area"
"1",1,"Control",1,10,55.7,0.6,6.14,55.165
"2",2,"Control",1,10,50,0.8,4.92,50.305
"3",3,"Control",1,10,45.3,0.6,3.2,45.912
"4",4,"Control",1,10,58.7,0.5,5.01,44.447
"5",5,"Control",1,10,69.3,1,1,47.047
"6",6,"Control",1,10,56.1,0.5,4.45,43.035
"7",7,"Imidacloprid",1,10,54.4,0.8,3.99,47.594
"8",8,"Imidacloprid",1,10,50.3,0.4,3.74,36.364
"9",9,"Imidacloprid",1,10,51.9,0.7,2.61,40.616
"10",10,"Imidacloprid",1,10,59.7,0.5,7.57,46.91
"11",11,"Imidacloprid",1,10,39,0.6,6.59,34.084
"12",12,"Imidacloprid",1,10,52.9,0.7,3.7,44.679
"13",13,"Control",1,15,51.2,0.9,2.13,44.574
"14",14,"Control",1,15,57.9,0.6,5.48,42.828
"15",15,"Control",1,15,50.7,0.6,5.13,35.124
"16",16,"Control",1,15,45.1,0.5,3.66,29.181
"17",17,"Control",1,15,39.6,0.7,2.31,22.021
"18",18,"Control",1,15,52,0.6,4.88,43.909
"19",19,"Imidacloprid",1,15,53.1,0.6,3.46,42.535
"20",20,"Imidacloprid",1,15,25.8,0.5,7.49,31.102
"21",21,"Imidacloprid",1,15,55.8,1,6.22,50.896
"22",22,"Imidacloprid",1,15,59.7,0.7,5.42,47.403
"23",23,"Imidacloprid",1,15,56.9,0.6,5.19,43.388
"24",24,"Imidacloprid",1,15,49.6,0.8,4.16,47.938
"25",25,"Control",1,5,58.8,0.8,9.38,48.16
"26",26,"Control",1,5,60.7,0.7,7.21,50.243
"27",27,"Control",1,5,40.2,0.7,7.23,51.545
"28",28,"Control",1,5,51.9,0.8,6.35,41.554
"29",29,"Control",1,5,35.9,0.6,6.15,35.879
"30",30,"Control",1,5,7.3,0.7,0.29,2.9
"31",31,"Imidacloprid",1,5,65.3,0.5,5.56,51.74
"32",32,"Imidacloprid",1,5,45.3,0.9,5.68,36.317
"33",33,"Imidacloprid",1,5,58.7,0.6,6.39,47.225
"34",34,"Imidacloprid",1,5,66.5,0.6,4.26,41.542
