Gam ID ,Distance.cm,Temperature.ºC,Concentration.µg/L
1,55.7,10,0
2,50,10,0
3,45.3,10,0
4,58.7,10,0
5,69.3,10,0
6,56.1,10,0
13,51.2,15,0
14,57.9,15,0
15,50.7,15,0
16,45.1,15,0
17,39.6,15,0
18,52,15,0
25,58.8,5,0
26,60.7,5,0
27,40.2,5,0
28,51.9,5,0
29,35.9,5,0
30,7.3,5,0
109,46.3,5,0
110,50.3,5,0
111,55.3,5,0
112,37.2,5,0
113,34.4,5,0
114,46.8,5,0
133,50.6,10,0
134,53.4,10,0
135,37.8,10,0
136,39.9,10,0
137,50.2,10,0
138,46,10,0
157,46.5,15,0
158,42.4,15,0
159,20.6,15,0
160,29.2,15,0
161,27.7,15,0
162,23.5,15,0
181,19.2,5,100
182,35.6,5,100
183,37.1,5,100
184,28.5,5,100
185,1.9,5,100
186,39.2,5,100
187,34,5,100
188,2.4,5,100
189,14.7,5,100
190,54.9,5,100
191,19.3,5,100
192,22.8,5,100
193,0.9,10,100
194,14.4,10,100
195,8.2,10,100
196,7.3,10,100
197,0.8,10,100
198,0.6,10,100
199,4.6,10,100
200,18.8,10,100
201,5.5,10,100
202,0.8,10,100
203,5.7,10,100
204,2.6,10,100
205,0.5,15,100
206,4.2,15,100
207,4.8,15,100
208,8.4,15,100
209,7.9,15,100
210,4.9,15,100
211,3.2,15,100
212,4,15,100
213,3.4,15,100
214,4.9,15,100
215,5.1,15,100
216,3.3,15,100
433,36.2,5,10
434,0.8,5,10
435,11.9,5,10
436,16.3,5,10
437,33.2,5,10
438,44.4,5,10
439,18.8,5,10
440,21.8,5,10
441,27.7,5,10
442,25,5,10
443,35.2,5,10
444,16.1,5,10
445,13,10,10
446,40.3,10,10
447,33,10,10
448,39.5,10,10
449,2.9,10,10
450,30.6,10,10
451,26.2,10,10
452,21.3,10,10
453,23,10,10
454,32.6,10,10
455,2.2,10,10
456,22.2,10,10
469,32.9,15,10
470,23.1,15,10
471,26.9,15,10
472,22,15,10
473,30.5,15,10
474,10.7,15,10
475,2.1,15,10
476,8.1,15,10
477,14,15,10
478,15.5,15,10
479,10.9,15,10
480,2,15,10
481,34.9,5,0.1
482,35,5,0.1
483,24.9,5,0.1
484,23.7,5,0.1
485,45.8,5,0.1
486,6.9,5,0.1
487,24.9,5,0.1
488,38,5,0.1
489,42.2,5,0.1
490,40.5,5,0.1
491,14.5,5,0.1
492,34.1,5,0.1
493,4.8,10,0.1
494,46.3,10,0.1
495,18.5,10,0.1
496,29.6,10,0.1
497,51.5,10,0.1
498,32.4,10,0.1
499,26.2,10,0.1
500,16.4,10,0.1
501,36,10,0.1
502,41,10,0.1
503,31.3,10,0.1
504,29.4,10,0.1
505,25.1,15,0.1
506,41.4,15,0.1
507,34.6,15,0.1
508,45.4,15,0.1
509,42.2,15,0.1
510,31.9,15,0.1
511,32.5,15,0.1
512,31.2,15,0.1
513,23.4,15,0.1
514,17.2,15,0.1
515,25.2,15,0.1
516,47,15,0.1
