Gammarus,1,2,3,4,5,6,7,8,9,10,11
Gam 1 Distance ,8.4,6.5,3.9,7.5,2.9,8.6,4.8,3.4,5.9,2.2,1.6
Gam 2 Distance ,1.3,5.6,6.9,3.6,2.8,8.1,3.7,6.8,1.7,3.9,5.6
Gam 3 Distance,2.9,3.3,5.5,6.7,2.3,5.2,1.8,3.1,3.2,4.1,7.2
Gam 4 Distance ,6.7,2.1,6,6.7,2.4,5.7,8.6,7.8,2.2,5.5,5
Gam 5 Distance ,6.8,6.8,7.3,7.5,6.2,7.2,4.6,4.6,6.6,5.9,5.8
Gam 6 Distance,4.7,4.9,8.2,4.7,2.7,4.7,7.1,6.9,6.1,0.6,5.5
Gam 7 Distance ,4.4,2.8,5.7,4,6.3,8.2,6.9,5.2,0.8,5,5.1
Gam 8 Distance ,6.3,5.4,7.9,4.3,6,4.9,3.8,3,1.3,2.1,5.3
Gam 9 Distance,3.9,2.1,4.2,5.7,2.1,5,4.7,5,7.3,6.5,5.4
Gam 10 Distance ,7.1,7,1.6,1.5,7.7,1.2,7.6,6.9,4.1,7.3,7.7
Gam 11 Distance,2.8,1.8,0.6,6.4,4.1,8.2,7,1.8,1.1,2,3.2
Gam 12 Distance ,7,5.4,4.1,5.3,4.7,3.6,2,7.2,1.3,5.9,6.4
Gam 13 Distance ,1.8,6.1,5.8,4.8,6.5,5.9,3.4,3.7,3.3,4.6,5.3
Gam 14 Distance,6.7,8,1.3,6.6,0.9,6.5,5.8,4.5,4.4,7.6,5.6
Gam 15 Distance ,2.5,7.6,8,7,5.7,3.2,5.6,4.1,1.7,2.4,2.9
Gam 16 Distance ,4.6,6.4,2.3,0.6,6.6,5.6,2.2,5.3,3.1,3.5,4.9
Gam 17 Distance,4,4.4,2.3,1.9,2.6,4.2,2.9,5.5,3,2.1,6.7
Gam 18 Distance ,1.9,2.9,1.1,6.1,7.5,5.5,3.3,5.1,7.3,4.3,7
Gam 19 Distance ,8.6,4,3.1,7.8,4.4,3.5,5.7,3.5,4.6,3,4.9
Gam 20 Distance,5.7,0.3,0.3,0.2,3.1,7,2.6,6.1,0.2,0,0.3
Gam 21 Distance ,1.4,7.2,7.8,7.2,7.4,5.2,1.2,4,7.4,3.1,3.9
Gam 22 Distance,1.2,5.5,7.1,8.4,4.3,5.4,6.8,1.4,6.6,5.6,7.4
Gam 23 Distance ,5.8,7.1,6.1,5,4.5,0.9,6.9,2.4,2.9,7.4,7.9
Gam 24 Distance,3.6,6.8,6.4,2.9,2.2,5.1,6.8,3.7,4.8,0.8,6.5
