,Gam.ID,Trial,Distance.cm,Log.Distance,Total.Area,Variance,Temperature,Chemical,TotalLogDistance1
1,25,Control 5ºC,58.8,4.074141855,48.16,9.38,5ºC,Control,4.091005661
2,26,Control 5ºC,60.7,4.105943698,50.243,7.21,5ºC,Control,4.122283931
3,27,Control 5ºC,40.2,3.693866996,51.545,7.23,5ºC,Control,3.718438256
4,28,Control 5ºC,51.9,3.94931879,41.554,6.35,5ºC,Control,3.968403339
5,29,Control 5ºC,35.9,3.580737295,35.879,6.15,5ºC,Control,3.608211551
6,30,Control 5ºC,7.3,1.987874348,2.9,0.29,5ºC,Control,2.116255515
7,109,Control 5ºC,46.3,NA,NA,3.26,5ºC,Control,3.856510295
8,110,Control 5ºC,50.3,NA,NA,2.96,5ºC,Control,3.937690752
9,111,Control 5ºC,55.3,NA,NA,6.17,5ºC,Control,4.030694535
10,112,Control 5ºC,37.2,NA,NA,1.65,5ºC,Control,3.642835516
11,113,Control 5ºC,34.4,NA,NA,4.03,5ºC,Control,3.56671182
12,114,Control 5ºC,46.8,NA,NA,4.93,5ºC,Control,3.867025639
13,31,Imidacloprid 5ºC,65.3,4.178992036,51.74,5.56,5ºC,Imidacloprid,4.194189897
14,32,Imidacloprid 5ºC,45.3,3.813307032,36.317,5.68,5ºC,Imidacloprid,3.835141961
15,33,Imidacloprid 5ºC,58.7,4.072439727,47.225,6.39,5ºC,Imidacloprid,4.08933202
16,34,Imidacloprid 5ºC,66.5,4.197201948,41.542,4.26,5ºC,Imidacloprid,4.212127598
17,35,Imidacloprid 5ºC,54.7,4.001863709,35.38,4.39,5ºC,Imidacloprid,4.019980147
18,36,Imidacloprid 5ºC,54.3,3.994524227,39.628,1.08,5ºC,Imidacloprid,4.012772909
19,115,Imidacloprid 5ºC,39.7,NA,NA,5.42,5ºC,Imidacloprid,3.706228092
20,116,Imidacloprid 5ºC,28.8,NA,NA,4.41,5ºC,Imidacloprid,3.394508394
21,117,Imidacloprid 5ºC,37.1,NA,NA,4.5,5ºC,Imidacloprid,3.640214282
22,118,Imidacloprid 5ºC,36,NA,NA,2.72,5ºC,Imidacloprid,3.610917913
23,119,Imidacloprid 5ºC,14.2,NA,NA,0.53,5ºC,Imidacloprid,2.721295428
24,120,Imidacloprid 5ºC,44.4,NA,NA,4.17,5ºC,Imidacloprid,3.815512105
25,1,Control 10ºC,55.7,4.019980147,55.165,6.14,10ºC,Control,4.037774211
26,2,Control 10ºC,50,3.912023005,50.305,4.92,10ºC,Control,3.931825633
27,3,Control 10ºC,45.3,3.813307032,45.912,3.2,10ºC,Control,3.835141961
28,4,Control 10ºC,58.7,4.072439727,44.447,5.01,10ºC,Control,4.08933202
29,5,Control 10ºC,69.3,4.238444906,47.047,1,10ºC,Control,4.252771799
30,6,Control 10ºC,56.1,4.027135813,43.035,4.45,10ºC,Control,4.044804117
31,133,Control 10ºC,50.6,NA,NA,4.6,10ºC,Control,3.943521672
32,134,Control 10ºC,53.4,NA,NA,3.06,10ºC,Control,3.996364154
33,135,Control 10ºC,37.8,NA,NA,7.64,10ºC,Control,3.658420247
34,136,Control 10ºC,39.9,NA,NA,3.3,10ºC,Control,3.711130063
35,137,Control 10ºC,50.2,NA,NA,3.77,10ºC,Control,3.935739532
36,138,Control 10ºC,46,NA,NA,2.87,10ºC,Control,3.850147602
37,7,Imidacloprid 10ºC,54.4,3.996364154,47.594,3.99,10ºC,Imidacloprid,4.014579594
38,8,Imidacloprid 10ºC,50.3,3.918005077,36.364,3.74,10ºC,Imidacloprid,3.937690752
39,9,Imidacloprid 10ºC,51.9,3.94931879,40.616,2.61,10ºC,Imidacloprid,3.968403339
40,10,Imidacloprid 10ºC,59.7,4.08933202,46.91,7.57,10ºC,Imidacloprid,4.105943698
41,11,Imidacloprid 10ºC,39,3.663561646,34.084,6.59,10ºC,Imidacloprid,3.688879454
42,12,Imidacloprid 10ºC,52.9,3.968403339,44.679,3.7,10ºC,Imidacloprid,3.987130478
43,139,Imidacloprid 10ºC,23.8,NA,NA,1.28,10ºC,Imidacloprid,3.210843653
44,140,Imidacloprid 10ºC,22.3,NA,NA,2.02,10ºC,Imidacloprid,3.148453361
45,141,Imidacloprid 10ºC,52.9,NA,NA,4.9,10ºC,Imidacloprid,3.987130478
