,Gam.ID,Trial,Distance.cm,cont
1,25,Control 5ºC,58.8,Control
2,26,Control 5ºC,60.7,Control
3,27,Control 5ºC,40.2,Control
4,28,Control 5ºC,51.9,Control
5,29,Control 5ºC,35.9,Control
6,30,Control 5ºC,7.3,Control
49,85,P Mix 1 5ºC ,41.1,Exp
50,86,P Mix 1 5ºC ,25.4,Exp
51,87,P Mix 1 5ºC ,25.7,Exp
52,88,P Mix 1 5ºC ,24,Exp
53,89,P Mix 1 5ºC ,48,Exp
54,90,P Mix 1 5ºC ,22.6,Exp
13,1,Control 10ºC,55.7,Control
14,2,Control 10ºC,50,Control
15,3,Control 10ºC,45.3,Control
16,4,Control 10ºC,58.7,Control
17,5,Control 10ºC,69.3,Control
18,6,Control 10ºC,56.1,Control
37,73,P Mix 1 10ºC,27.6,Exp
38,74,P Mix 1 10ºC,0,Exp
39,75,P Mix 1 10ºC,21.5,Exp
40,76,P Mix 1 10ºC,41,Exp
41,77,P Mix 1 10ºC,29.1,Exp
42,78,P Mix 1 10ºC,36.5,Exp
25,13,Control 15ºC,51.2,Control
26,14,Control 15ºC,57.9,Control
27,15,Control 15ºC,50.7,Control
28,16,Control 15ºC,45.1,Control
29,17,Control 15ºC,39.6,Control
30,18,Control 15ºC,52,Control
43,79,P Mix 1 15ºC,0,Exp
44,80,P Mix 1 15ºC,0.5,Exp
45,81,P Mix 1 15ºC,0,Exp
46,82,P Mix 1 15ºC,0,Exp
47,83,P Mix 1 15ºC,0,Exp
48,84,P Mix 1 15ºC,0,Exp
