Gam ID ,Treatment,Temperature,Chemical,Chem.conc,Concentration,Total Distance ,Replicate
25,Control 5    ,5,Control,Control,0,58.8,1
26,Control 5    ,5,Control,Control,0,60.7,2
27,Control 5    ,5,Control,Control,0,40.2,3
28,Control 5    ,5,Control,Control,0,51.9,4
29,Control 5    ,5,Control,Control,0,35.9,5
30,Control 5    ,5,Control,Control,0,7.3,6
109,Control 5    ,5,Control,Control,0,46.3,7
110,Control 5    ,5,Control,Control,0,50.3,8
111,Control 5    ,5,Control,Control,0,55.3,9
112,Control 5    ,5,Control,Control,0,37.2,10
113,Control 5    ,5,Control,Control,0,34.4,11
114,Control 5    ,5,Control,Control,0,46.8,12
31,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,65.3,1
32,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,45.3,2
33,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,58.7,3
34,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,66.5,4
35,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,54.7,5
36,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,54.3,6
115,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,39.7,7
116,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,28.8,8
117,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,37.1,9
118,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,36,10
119,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,14.2,11
120,Imidacloprid 5    ,5,Imidacloprid,Imidacloprid 100,100,44.4,12
1,Control 10    ,10,Control,Control,0,55.7,1
2,Control 10    ,10,Control,Control,0,50,2
3,Control 10    ,10,Control,Control,0,45.3,3
4,Control 10    ,10,Control,Control,0,58.7,4
5,Control 10    ,10,Control,Control,0,69.3,5
6,Control 10    ,10,Control,Control,0,56.1,6
133,Control 10    ,10,Control,Control,0,50.6,7
134,Control 10    ,10,Control,Control,0,53.4,8
135,Control 10    ,10,Control,Control,0,37.8,9
136,Control 10    ,10,Control,Control,0,39.9,10
137,Control 10    ,10,Control,Control,0,50.2,11
138,Control 10    ,10,Control,Control,0,46,12
7,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,54.4,1
8,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,50.3,2
9,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,51.9,3
10,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,59.7,4
11,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,39,5
12,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,52.9,6
139,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,23.8,7
140,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,22.3,8
141,Imidacloprid 10    ,10,Imidacloprid,Imidacloprid 100,100,52.9,9
